Plant Type,Cl,S,P,Ca,Mg,K,Na,B,Fe,Mn,Cu,Zn,Al,Co,Mo,Si,Se,Ni
Dandelion,1340,33.5,128,143,53.4,485,3.25,0.44,3.17,1.63,0.18,0.56,2.51,0.02,0.13,28,1.8,0.01
Nettle,1050,70.17,35.34,86.1,141,376,0.55,1.37,1.57,1.18,0.11,0.57,0.9,0.01,0.014,24.6,1.03,0.01
Quack Grass Root,932,6.32,38.04,98,22,97,1.46,0.12,2.54,4.11,0.32,0.28,2.62,0.02,0.03,51.1,1.59,0.01
Sassafras,250,38.7,61.2,245,56,710,2,0.67,9.35,3.5,0.39,0.24,3.71,0.01,0.14,30.48,0.37,0
Peach Fruit,35,5.19,77.06,64.1,21.9,329.7,2.03,0.21,2.77,0.91,0.77,0.17,1.95,0.05,21.9,29.6,0.35,0.02
Blueberry Fruit,14,6.91,36.4,73.83,21.85,183.3,1.87,0.08,2.74,1.1,0.7,0.31,1.85,0.02,0.02,25.4,0.26,0.02
Apple Fruit,90,13.01,36.7,95.72,37.02,497.5,6.98,0.32,6.18,2.77,0.64,0.23,5.37,0.08,0.02,31.3,0.41,0.02
Horsetail,300,56.79,42.1,358.1,90.92,876.5,1.11,0.22,6.74,3.14,0.16,0.65,1.15,0.01,0.03,28.8,0.3,0.04
Lamb’s quarter,65,11.35,153.8,4.5,19.55,903.4,1.29,0.21,5.78,0.42,0.23,0.15,0.38,0.01,0.03,12.8,0.44,0.021
Chickweed,250,18.88,205.2,6.84,13.52,1277,54.47,1.62,163.9,1.11,0.31,0.11,3.07,0.02,0.09,13.5,0.21,0.03
Dill,275,46.24,155.2,167.5,55.35,1157,4.89,0.21,6.19,1.14,0.1,0.67,0.45,0.01,0.06,7.6,0.38,0.04
Comfrey,80,8.32,270.8,31.52,34.15,1025,0.58,0.4,2.06,0.65,0.15,0.49,0.31,0.01,0.07,15.4,0.45,0.034
Catnip,125,13.38,43.49,126.6,40.56,331.8,0.78,0.09,4.56,1.18,0.15,0.4,0.91,0.02,0.05,16.9,0.38,0.03
Mugwort,200,13.97,62.77,113.4,35.3,16.54,0.88,0.05,7.53,1.92,0.19,0.49,1.82,0.08,0.2,21.1,0.54,0.11
